Gold,Silver
0.937265,0.062735
0.937578,0.062422
0.937578,0.062422
0.937422,0.062578
0.937186,0.062814
0.936829,0.063171
0.936988,0.063012
0.937578,0.062422
0.937500,0.062500
0.938272,0.061728
0.937772,0.062228
0.937265,0.062735
0.936749,0.063251
0.937772,0.062228
0.939467,0.060533
0.938157,0.061843
0.938348,0.061652
0.937927,0.062073
0.938537,0.061463
0.939173,0.060827
0.939062,0.060938
0.938688,0.061312
0.938348,0.061652
0.938613,0.061387
0.938688,0.061312
0.938424,0.061576
0.938004,0.061996
0.937927,0.062073
0.937850,0.062150
0.938004,0.061996
0.937927,0.062073
0.937850,0.062150
0.937656,0.062344
0.937695,0.062305
0.938157,0.061843
0.938272,0.061728
0.937927,0.062073
0.937927,0.062073
0.938080,0.061920
0.938424,0.061576
0.937927,0.062073
0.937186,0.062814
0.936749,0.063251
0.937265,0.062735
0.937850,0.062150
0.938195,0.061805
0.938987,0.061013
0.939062,0.060938
0.938195,0.061805
0.937578,0.062422
0.937146,0.062854
0.937146,0.062854
0.937265,0.062735
0.937186,0.062814
0.936909,0.063091
0.936909,0.063091
0.936988,0.063012
0.937422,0.062578
0.938004,0.061996
0.938499,0.061501
0.937927,0.062073
0.936709,0.063291
0.935691,0.064309
0.935023,0.064977
0.935484,0.064516
0.935650,0.064350
0.935401,0.064599
0.936224,0.063776
0.937265,0.062735
0.936988,0.063012
0.936909,0.063091
0.933993,0.066007
0.933950,0.066050
0.935650,0.064350
0.938537,0.061463
0.937461,0.062539
0.936306,0.063694
0.936829,0.063171
0.936709,0.063291
0.936909,0.063091
0.936709,0.063291
0.936387,0.063613
0.935980,0.064020
0.936143,0.063857
0.935567,0.064433
0.935980,0.064020
0.935980,0.064020
0.936387,0.063613
0.935691,0.064309
0.935650,0.064350
0.936224,0.063776
0.936709,0.063291
0.936387,0.063613
0.936629,0.063371
0.935149,0.064851
0.935401,0.064599
0.936306,0.063694
0.937186,0.062814
0.937343,0.062657
0.937186,0.062814
0.936102,0.063898
0.936508,0.063492
0.937656,0.062344
0.937695,0.062305
0.938157,0.061843
0.937500,0.062500
0.938913,0.061087
0.939577,0.060423
0.939940,0.060060
0.939062,0.060938
0.939723,0.060277
0.940263,0.059737
0.940048,0.059952
0.939247,0.060753
0.938499,0.061501
0.939062,0.060938
0.939062,0.060938
0.940441,0.059559
0.939467,0.060533
0.939136,0.060864
0.941452,0.058548
0.941038,0.058962
0.940370,0.059630
0.939504,0.060496
0.941555,0.058445
0.942029,0.057971
0.937656,0.062344
0.938499,0.061501
0.938575,0.061425
0.937927,0.062073
0.938838,0.061162
0.938763,0.061237
0.939832,0.060168
0.941003,0.058997
0.940476,0.059524
0.940618,0.059382
0.940547,0.059453
0.940120,0.059880
0.940334,0.059666
0.940263,0.059737
0.940405,0.059595
0.940405,0.059595
0.940547,0.059453
0.940191,0.059809
0.940227,0.059773
0.940933,0.059067
0.940227,0.059773
0.940476,0.059524
0.940191,0.059809
0.940582,0.059418
0.940653,0.059347
0.939832,0.060168
0.939832,0.060168
0.940120,0.059880
0.940723,0.059277
0.940933,0.059067
0.940653,0.059347
0.940898,0.059102
0.940828,0.059172
0.940476,0.059524
0.940653,0.059347
0.940405,0.059595
0.940120,0.059880
0.939247,0.060753
0.939723,0.060277
0.938763,0.061237
0.938763,0.061237
0.938950,0.061050
0.938950,0.061050
0.938537,0.061463
0.938950,0.061050
0.938233,0.061767
0.938613,0.061387
0.939394,0.060606
0.938838,0.061162
0.938913,0.061087
0.938913,0.061087
0.939173,0.060827
0.939136,0.060864
0.939650,0.060350
0.939723,0.060277
0.939759,0.060241
0.939650,0.060350
0.939650,0.060350
0.939868,0.060132
0.940933,0.059067
0.941725,0.058275
0.943311,0.056689
0.946667,0.053333
0.945055,0.054945
0.947146,0.052854
0.948427,0.051573
0.947507,0.052493
0.948052,0.051948
0.947917,0.052083
0.949084,0.050916
0.949006,0.050994
0.951004,0.048996
0.954086,0.045914
0.954751,0.045249
0.956522,0.043478
0.956710,0.043290
0.951807,0.048193
0.954380,0.045620
0.959547,0.040453
0.963623,0.036377
0.970203,0.029797
0.969325,0.030675
0.968344,0.031656
0.971591,0.028409
0.972245,0.027755
0.971719,0.028281
0.970871,0.029129
0.971973,0.028027
0.975093,0.024907
0.974425,0.025575
0.972752,0.027248
0.971322,0.028678
0.968294,0.031706
0.968983,0.031017
0.974773,0.025227
0.975454,0.024546
0.974503,0.025497
0.974574,0.025426
0.971115,0.028885
0.971583,0.028417
0.973938,0.026062
0.975892,0.024108
0.968534,0.031466
0.960953,0.039047
0.954545,0.045455
0.948560,0.051440
0.953008,0.046992
0.970379,0.029621
0.968183,0.031817
0.969410,0.030590
0.968553,0.031447
0.967511,0.032489
0.970683,0.029317
0.973312,0.026688
0.972482,0.027518
0.974862,0.025138
0.981732,0.018268
0.986159,0.013841
0.986539,0.013461
0.985882,0.014118
0.986369,0.013631
0.981881,0.018119
0.987194,0.012806
0.987251,0.012749
0.987713,0.012287
0.988869,0.011131
0.990075,0.009925
0.990072,0.009928
0.989079,0.010921
0.987289,0.012711
0.987289,0.012711
0.985380,0.014620
0.977614,0.022386
0.979891,0.020109
0.979197,0.020803
0.979843,0.020157
0.979227,0.020773
0.975075,0.024925
0.976281,0.023719
0.976213,0.023787
0.976196,0.023804
0.975149,0.024851
0.974684,0.025316
0.974684,0.025316
0.975168,0.024832
0.974581,0.025419
0.974535,0.025465
0.974240,0.025760
0.969898,0.030102
0.964714,0.035286
0.964337,0.035663
0.964337,0.035663
0.964337,0.035663
0.957555,0.042445
0.948160,0.051840
0.958609,0.041391
0.953575,0.046425
0.963847,0.036153
0.972028,0.027972
0.974496,0.025504
0.971347,0.028653
0.973340,0.026660
0.966398,0.033602
0.969743,0.030257
0.972826,0.027174
0.965145,0.034855
0.967384,0.032616
0.977604,0.022396
0.979270,0.020730
0.973705,0.026295
0.977905,0.022095
0.981017,0.018983
0.985348,0.014652
0.984577,0.015423
0.985283,0.014717
0.985814,0.014186
0.987621,0.012379
0.988990,0.011010
0.988697,0.011303
0.988214,0.011786
0.986448,0.013552
0.986804,0.013196
0.986823,0.013177
0.985488,0.014512
0.981563,0.018437
0.981570,0.018430
0.982444,0.017556
0.984114,0.015886
0.985363,0.014637
0.986706,0.013294
0.983949,0.016051
0.983793,0.016207
0.981203,0.018797
0.981100,0.018900
0.983100,0.016900
0.985135,0.014865
0.983777,0.016223
0.978142,0.021858
0.981678,0.018322
0.983419,0.016581
0.985159,0.014841
0.986663,0.013337
0.986479,0.013521
0.986624,0.013376
0.987771,0.012229
0.988502,0.011498
0.988545,0.011455
0.986222,0.013778
0.986222,0.013778
0.988085,0.011915
0.987692,0.012308
0.988320,0.011680
0.988982,0.011018
0.988857,0.011143
0.988631,0.011369
0.988669,0.011331
0.988700,0.011300
0.988657,0.011343
0.988651,0.011349
0.988870,0.011130
0.988871,0.011129
0.988586,0.011414
0.988652,0.011348
0.988847,0.011153
0.988763,0.011237
0.988839,0.011161
0.989021,0.010979
0.988953,0.011047
0.989069,0.010931
0.989016,0.010984
0.988845,0.011155
0.988666,0.011334
0.988706,0.011294
0.988699,0.011301
0.988605,0.011395
0.988687,0.011313
0.988742,0.011258
0.988849,0.011151
0.989007,0.010993
0.989055,0.010945
0.988886,0.011114
0.988964,0.011036
0.988753,0.011247
0.988763,0.011237
0.988825,0.011175
0.988752,0.011248
0.988899,0.011101
0.989071,0.010929
0.989170,0.010830
0.989063,0.010937
0.989091,0.010909
0.989115,0.010885
0.989039,0.010961
0.989085,0.010915
0.988855,0.011145
0.988791,0.011209
0.988919,0.011081
0.988959,0.011041
0.988836,0.011164
0.988736,0.011264
0.988719,0.011281
0.988712,0.011288
0.988770,0.011230
0.988735,0.011265
0.988933,0.011067
0.989008,0.010992
0.989091,0.010909
0.989080,0.010920
0.988880,0.011120
0.988860,0.011140
0.988725,0.011275
0.988900,0.011100
0.989086,0.010914
0.989167,0.010833
0.989132,0.010868
0.989822,0.010178
0.990426,0.009574
0.990100,0.009900
0.990129,0.009871
0.990177,0.009823
0.990373,0.009627
0.990220,0.009780
0.990086,0.009914
0.990087,0.009913
0.990199,0.009801
0.990297,0.009703
0.990550,0.009450
0.990424,0.009576
0.989873,0.010127
0.990051,0.009949
0.990050,0.009950
0.990198,0.009802
0.990073,0.009927
0.990253,0.009747
0.990072,0.009928
0.990199,0.009801
0.990368,0.009632
0.990387,0.009613
0.990471,0.009529
0.990274,0.009726
0.990298,0.009702
0.990042,0.009958
0.989958,0.010042
0.989972,0.010028
0.990016,0.009984
0.989995,0.010005
0.990092,0.009908
0.990046,0.009954
0.989989,0.010011
0.990062,0.009938
0.990156,0.009844
0.990053,0.009947
0.990080,0.009920
0.990066,0.009934
0.990098,0.009902
0.989850,0.010150
0.989806,0.010194
0.989871,0.010129
0.989461,0.010539
0.989274,0.010726
0.989109,0.010891
0.989116,0.010884
0.989228,0.010772
0.989402,0.010598
0.989537,0.010463
0.989402,0.010598
0.989167,0.010833
0.989241,0.010759
0.989431,0.010569
0.989410,0.010590
0.989353,0.010647
0.989271,0.010729
0.989144,0.010856
0.989112,0.010888
0.989234,0.010766
0.989302,0.010698
0.989237,0.010763
0.989080,0.010920
0.989085,0.010915
0.989131,0.010869
0.989092,0.010908
0.989142,0.010858
0.988959,0.011041
0.988607,0.011393
0.988654,0.011346
0.988765,0.011235
0.988835,0.011165
0.988735,0.011265
0.988729,0.011271
0.988637,0.011363
0.988696,0.011304
0.988560,0.011440
0.988557,0.011443
0.988682,0.011318
0.988639,0.011361
0.988670,0.011330
0.988730,0.011270
0.989023,0.010977
0.989131,0.010869
0.989098,0.010902
0.988979,0.011021
0.988950,0.011050
0.988903,0.011097
0.988953,0.011047
0.988893,0.011107
0.988810,0.011190
0.988667,0.011333
0.988740,0.011260
0.988768,0.011232
0.988737,0.011263
0.988880,0.011120
0.988848,0.011152
0.988732,0.011268
0.988574,0.011426
0.988666,0.011334
0.988742,0.011258
0.988764,0.011236
0.988709,0.011291
0.988560,0.011440
0.988561,0.011439
0.988571,0.011429
0.988657,0.011343
0.988760,0.011240
0.988741,0.011259
0.988904,0.011096
0.988837,0.011163
0.988665,0.011335
0.988519,0.011481
0.988585,0.011415
0.988618,0.011382
0.988795,0.011205
0.988683,0.011317
0.988547,0.011453
0.988427,0.011573
0.988446,0.011554
0.988406,0.011594
0.988180,0.011820
0.987905,0.012095
0.987948,0.012052
0.988101,0.011899
0.987920,0.012080
0.988162,0.011838
0.987884,0.012116
0.987969,0.012031
0.988275,0.011725
0.988109,0.011891
0.988267,0.011733
0.988332,0.011668
0.987946,0.012054
0.987989,0.012011
0.987920,0.012080
0.987764,0.012236
0.988239,0.011761
0.988349,0.011651
0.988525,0.011475
0.988401,0.011599
0.988385,0.011615
0.988390,0.011610
0.988499,0.011501
0.988258,0.011742
0.988163,0.011837
0.988042,0.011958
0.988091,0.011909
0.988171,0.011829
0.988202,0.011798
0.988118,0.011882
0.988134,0.011866
0.988136,0.011864
0.987944,0.012056
0.987825,0.012175
0.987474,0.012526
0.987482,0.012518
0.987775,0.012225
0.987709,0.012291
0.987730,0.012270
0.987698,0.012302
0.987765,0.012235
0.987914,0.012086
0.987858,0.012142
0.987844,0.012156
0.987455,0.012545
0.986795,0.013205
0.986407,0.013593
0.986340,0.013660
0.986395,0.013605
0.986683,0.013317
0.986322,0.013678
0.986389,0.013611
0.985899,0.014101
0.985816,0.014184
0.985302,0.014698
0.985931,0.014069
0.985596,0.014404
0.985643,0.014357
0.984993,0.015007
0.985334,0.014666
0.984905,0.015095
0.984952,0.015048
0.984520,0.015480
0.984394,0.015606
0.983393,0.016607
0.984105,0.015895
0.982603,0.017397
0.984045,0.015955
0.983910,0.016090
0.983124,0.016876
0.982350,0.017650
0.982959,0.017041
0.983486,0.016514
0.982736,0.017264
0.981955,0.018045
0.981631,0.018369
0.980737,0.019263
0.980486,0.019514
0.981163,0.018837
0.980591,0.019409
0.981273,0.018727
0.980823,0.019177
0.980122,0.019878
0.977847,0.022153
0.979650,0.020350
0.979110,0.020890
0.979008,0.020992
0.983663,0.016337
0.983662,0.016338
0.983347,0.016653
0.983182,0.016818
0.984502,0.015498
0.984738,0.015262
0.984012,0.015988
0.984222,0.015778
0.983754,0.016246
0.984889,0.015111
0.984735,0.015265
0.985181,0.014819
0.984694,0.015306
0.984651,0.015349
0.983997,0.016003
