H2CO3,HCO3_minus,CO3_2minus
0.9995535158,0.0004464842,0.0000000000
0.9994987741,0.0005012259,0.0000000000
0.9994373244,0.0005626756,0.0000000000
0.9993683458,0.0006316542,0.0000000000
0.9992909171,0.0007090828,0.0000000001
0.9992040047,0.0007959952,0.0000000001
0.9991064490,0.0008935509,0.0000000001
0.9989969490,0.0010030509,0.0000000001
0.9988740455,0.0011259543,0.0000000001
0.9987361017,0.0012638981,0.0000000002
0.9985812821,0.0014187177,0.0000000002
0.9984075282,0.0015924715,0.0000000003
0.9982125324,0.0017874673,0.0000000003
0.9979937076,0.0020062920,0.0000000004
0.9977481543,0.0022518451,0.0000000005
0.9974726235,0.0025273758,0.0000000007
0.9971634752,0.0028365240,0.0000000008
0.9968166325,0.0031833664,0.0000000011
0.9964275308,0.0035724679,0.0000000013
0.9959910606,0.0040089377,0.0000000017
0.9955015049,0.0044984930,0.0000000021
0.9949524696,0.0050475278,0.0000000027
0.9943368063,0.0056631903,0.0000000034
0.9936465282,0.0063534675,0.0000000043
0.9928727162,0.0071272785,0.0000000054
0.9920054170,0.0079945763,0.0000000067
0.9910335316,0.0089664599,0.0000000085
0.9899446935,0.0100552958,0.0000000107
0.9887251371,0.0112748494,0.0000000135
0.9873595554,0.0126404276,0.0000000169
0.9858309481,0.0141690305,0.0000000213
0.9841204592,0.0158795140,0.0000000268
0.9822072064,0.0177927599,0.0000000338
0.9800681029,0.0199318547,0.0000000424
0.9776776738,0.0223222728,0.0000000534
0.9750078708,0.0249920621,0.0000000671
0.9720278879,0.0279720278,0.0000000843
0.9687039852,0.0312959089,0.0000001059
0.9649993267,0.0350005403,0.0000001329
0.9608738409,0.0391259923,0.0000001668
0.9562841153,0.0437156755,0.0000002093
0.9511833385,0.0488163992,0.0000002623
0.9455213041,0.0544783672,0.0000003287
0.9392444970,0.0607550915,0.0000004115
0.9322962802,0.0677032049,0.0000005148
0.9246172091,0.0753821474,0.0000006435
0.9161454946,0.0838537017,0.0000008037
0.9068176454,0.0931813520,0.0000010026
0.8965693112,0.1034294394,0.0000012494
0.8853363544,0.1146620906,0.0000015550
0.8730561662,0.1269419011,0.0000019327
0.8596692389,0.1403283624,0.0000023986
0.8451209946,0.1548760334,0.0000029720
0.8293638510,0.1706324730,0.0000036760
0.8123594912,0.1876359706,0.0000045382
0.7940812741,0.2059131347,0.0000055912
0.7745167021,0.2254764245,0.0000068734
0.7536698323,0.2463217378,0.0000084299
0.7315634948,0.2684261919,0.0000103133
0.7082411637,0.2917462520,0.0000125843
0.6837683163,0.3162163708,0.0000153130
0.6582331199,0.3417483007,0.0000185795
0.6317463087,0.3682312163,0.0000224749
0.6044401475,0.3955327499,0.0000271026
0.5764664342,0.4235009870,0.0000325788
0.5479935622,0.4519674042,0.0000390336
0.5192027328,0.4807506546,0.0000466125
0.4902834843,0.5096610384,0.0000554773
0.4614287611,0.5385054314,0.0000658075
0.4328297933,0.5670924047,0.0000778020
0.4046710720,0.5952372473,0.0000916807
0.3771256979,0.6227666148,0.0001076873
0.3503513457,0.6495225631,0.0001260912
0.3244870301,0.6753657791,0.0001471908
0.2996507912,0.7001778915,0.0001713174
0.2759383413,0.7238628202,0.0001988385
0.2534226477,0.7463471889,0.0002301635
0.2321543645,0.7675798873,0.0002657482
0.2121629863,0.7875309121,0.0003061016
0.1934585672,0.8061896404,0.0003517924
0.1760338417,0.8235627014,0.0004034569
0.1598665886,0.8396716037,0.0004618078
0.1449220929,0.8545502635,0.0005276435
0.1311555871,0.8682425531,0.0006018598
0.1185145743,0.8807999646,0.0006854611
0.1069409679,0.8922794575,0.0007795746
0.0963730012,0.9027415336,0.0008854651
0.0867468855,0.9122485624,0.0010045521
0.0779982109,0.9208633607,0.0011384285
0.0700630967,0.9286480219,0.0012888814
0.0628791090,0.9356629750,0.0014579160
0.0563859656,0.9419662527,0.0016477817
0.0505260568,0.9476129424,0.0018610008
0.0452448052,0.9526547930,0.0021004018
0.0404908929,0.9571399518,0.0023691553
0.0362163783,0.9611128073,0.0026708144
0.0323767252,0.9646139149,0.0030093599
0.0289307638,0.9676799861,0.0033892501
0.0258405989,0.9703439244,0.0038154767
0.0230714810,0.9726348929,0.0042936261
0.0205916503,0.9745784022,0.0048299475
0.0183721643,0.9761964069,0.0054314288
0.0163867156,0.9775074054,0.0061058790
0.0146114464,0.9785265332,0.0068620204
0.0130247641,0.9792656478,0.0077095881
0.0116071609,0.9797333988,0.0086594403
0.0103410403,0.9799352819,0.0097236778
0.0092105522,0.9798736744,0.0109157734
0.0082014375,0.9795478504,0.0122507121
0.0073008822,0.9789539765,0.0137451413
0.0064973827,0.9780850864,0.0154175309
0.0057806205,0.9769310371,0.0172883424
0.0051413477,0.9754784466,0.0193802057
0.0045712813,0.9737106169,0.0217181018
0.0040630074,0.9716074441,0.0243295485
0.0036098938,0.9691453217,0.0272447844
0.0032060104,0.9662970417,0.0304969480
0.0028460570,0.9630317002,0.0341222427
0.0025252991,0.9593146185,0.0381600824
0.0022395082,0.9551072881,0.0426532037
0.0019849097,0.9503673550,0.0476477353
0.0017581348,0.9450486576,0.0531932076
0.0015561777,0.9391013377,0.0593424846
0.0013763576,0.9324720439,0.0661515985
0.0012162837,0.9251042525,0.0736794637
0.0010738244,0.9169387306,0.0819874450
0.0009470796,0.9079141669,0.0911387535
0.0008343558,0.8979679988,0.1011976454
0.0007341438,0.8870374581,0.1122283980
0.0006450987,0.8750608574,0.1242940439
0.0005660222,0.8619791283,0.1374548495
0.0004958461,0.8477376160,0.1517665379
0.0004336186,0.8322881140,0.1672782674
0.0003784909,0.8155911098,0.1840303994
0.0003297059,0.7976181848,0.2020521093
0.0002865879,0.7783544894,0.2213589228
0.0002485332,0.7578011841,0.2419502827
0.0002150020,0.7359777177,0.2638072802
0.0001855110,0.7129237874,0.2868907015
0.0001596269,0.6887008202,0.3111395529
0.0001369604,0.6633928125,0.3364702271
0.0001171615,0.6371063837,0.3627764548
0.0000999148,0.6099699326,0.3899301526
0.0000849360,0.5821318371,0.4177832269
0.0000719679,0.5537577034,0.4461703287
0.0000607784,0.5250267401,0.4749124815
0.0000511576,0.4961274098,0.5038214326
0.0000429158,0.4672525728,0.5327045114
0.0000358820,0.4385943829,0.5613697351
0.0000299024,0.4103392222,0.5896308754
0.0000248386,0.3826629558,0.6173122056
0.0000205673,0.3557267567,0.6442526761
0.0000169783,0.3296737010,0.6703093208
0.0000139741,0.3046262643,0.6953597616
0.0000114690,0.2806847771,0.7193037539
0.0000093875,0.2579268263,0.7420637862
0.0000076642,0.2364075269,0.7635848089
0.0000062421,0.2161605445,0.7838332134
0.0000050723,0.1971997145,0.8027952132
0.0000041131,0.1795210967,0.8204747902
0.0000033286,0.1631053037,0.8368913677
0.0000026889,0.1479199541,0.8520773570
0.0000021684,0.1339221270,0.8660757046
0.0000017460,0.1210607162,0.8789375378
0.0000014039,0.1092786111,0.8907199850
0.0000011273,0.0985146551,0.9014842175
0.0000009042,0.0887053562,0.9112937397
0.0000007244,0.0797863386,0.9202129370
0.0000005798,0.0716935432,0.9283058770
0.0000004636,0.0643641901,0.9356353463
0.0000003705,0.0577375243,0.9422621053
0.0000002958,0.0517553717,0.9482443326
0.0000002360,0.0463625291,0.9536372348
0.0000001882,0.0415070164,0.9584927954
0.0000001500,0.0371402129,0.9628596371
0.0000001195,0.0332169036,0.9667829769
0.0000000952,0.0296952516,0.9703046533
0.0000000757,0.0265367162,0.9734632080
0.0000000603,0.0237059305,0.9762940093
0.0000000479,0.0211705496,0.9788294025
0.0000000381,0.0189010813,0.9810988806
0.0000000303,0.0168707052,0.9831292645
0.0000000241,0.0150550876,0.9849448883
0.0000000191,0.0134321963,0.9865677845
0.0000000152,0.0119821194,0.9880178654
0.0000000121,0.0106868902,0.9893130977
0.0000000096,0.0095303206,0.9904696697
0.0000000076,0.0084978436,0.9915021487
0.0000000061,0.0075763654,0.9924236285
0.0000000048,0.0067541287,0.9932458665
0.0000000038,0.0060205850,0.9939794111
0.0000000030,0.0053662787,0.9946337182
0.0000000024,0.0047827391,0.9952172585
0.0000000019,0.0042623828,0.9957376153
0.0000000015,0.0037984246,0.9962015739
0.0000000012,0.0033847963,0.9966152025
0.0000000010,0.0030160735,0.9969839255
0.0000000008,0.0026874093,0.9973125900
0.0000000006,0.0023944739,0.9976055255
0.0000000005,0.0021334010,0.9978665986
