H3Cit,H2Cit_minus,HCit_2minus,Cit_3minus
0.9926401779,0.0073585433,0.0000012788,0.0000000000
0.9918388568,0.0081595696,0.0000015736,0.0000000000
0.9909510663,0.0090469975,0.0000019362,0.0000000000
0.9899676533,0.0100299645,0.0000023822,0.0000000000
0.9888785368,0.0111185326,0.0000029306,0.0000000000
0.9876726228,0.0123237724,0.0000036047,0.0000000000
0.9863377139,0.0136578527,0.0000044334,0.0000000000
0.9848604134,0.0151341347,0.0000054518,0.0000000000
0.9832260249,0.0167672720,0.0000067030,0.0000000001
0.9814184463,0.0185733136,0.0000082399,0.0000000001
0.9794200616,0.0205698110,0.0000101273,0.0000000001
0.9772116287,0.0227759271,0.0000124441,0.0000000002
0.9747721674,0.0252125451,0.0000152873,0.0000000002
0.9720788483,0.0279023763,0.0000187750,0.0000000003
0.9691068854,0.0308700625,0.0000230517,0.0000000004
0.9658294357,0.0341422704,0.0000282933,0.0000000005
0.9622175109,0.0377477740,0.0000347144,0.0000000007
0.9582399041,0.0417175191,0.0000425758,0.0000000010
0.9538631406,0.0460846633,0.0000521947,0.0000000014
0.9490514563,0.0508845856,0.0000639562,0.0000000018
0.9437668151,0.0561548557,0.0000783267,0.0000000025
0.9379689727,0.0619351532,0.0000958707,0.0000000034
0.9316155985,0.0682671270,0.0001172699,0.0000000046
0.9246624667,0.0751941812,0.0001433459,0.0000000063
0.9170637287,0.0827611759,0.0001750870,0.0000000085
0.9087722810,0.0910140286,0.0002136789,0.0000000115
0.8997402399,0.0999992036,0.0002605409,0.0000000156
0.8899195361,0.1097630758,0.0003173670,0.0000000210
0.8792626392,0.1203511594,0.0003861730,0.0000000284
0.8677234196,0.1318071920,0.0004693501,0.0000000383
0.8552581512,0.1441720725,0.0005697247,0.0000000516
0.8418266522,0.1574826527,0.0006906258,0.0000000694
0.8273935539,0.1717703948,0.0008359581,0.0000000932
0.8119296789,0.1870599131,0.0010102830,0.0000001250
0.7954134983,0.2033674293,0.0012189050,0.0000001674
0.7778326277,0.2206991850,0.0014679637,0.0000002237
0.7591853083,0.2390498627,0.0017645306,0.0000002984
0.7394818105,0.2584010833,0.0021167090,0.0000003972
0.7187456849,0.2787200525,0.0025337349,0.0000005277
0.6970147832,0.2999584390,0.0030260784,0.0000006994
0.6743419671,0.3220515655,0.0036055427,0.0000009247
0.6507954284,0.3449179929,0.0042853590,0.0000012197
0.6264585562,0.3684595630,0.0050802762,0.0000016047
0.6014293022,0.3925619494,0.0060066430,0.0000021055
0.5758190211,0.4170957414,0.0070824824,0.0000027551
0.5497507938,0.4419180541,0.0083275572,0.0000035950
0.5233572697,0.4668746259,0.0097634270,0.0000046774
0.4967781021,0.4918023330,0.0114134969,0.0000060680
0.4701570745,0.5165320176,0.0133030590,0.0000078488
0.4436390440,0.5408915076,0.0154593263,0.0000101221
0.4173668361,0.5647086885,0.0179114606,0.0000130148
0.3914782353,0.5878144870,0.0206905935,0.0000166842
0.3661032031,0.6100456329,0.0238298395,0.0000213246
0.3413614403,0.6312470868,0.0273642980,0.0000271750
0.3173603855,0.6512740443,0.0313310410,0.0000345291
0.2941937088,0.6699934659,0.0357690786,0.0000437467
0.2719403287,0.6872851095,0.0407192951,0.0000552667
0.2506639475,0.7030420830,0.0462243453,0.0000696242
0.2304130735,0.7171709591,0.0523284984,0.0000874689
0.2112214746,0.7295915219,0.0590774154,0.0001095880
0.1931089924,0.7402362294,0.0665178458,0.0001369323
0.1760826398,0.7490494861,0.0746972271,0.0001706469
0.1601378986,0.7559868228,0.0836631719,0.0002121067
0.1452601398,0.7610140745,0.0934628285,0.0002629573
0.1314260974,0.7641066403,0.1041421011,0.0003251612
0.1186053330,0.7652488923,0.1157447236,0.0004010511
0.1067616437,0.7644337880,0.1283111797,0.0004933886
0.0958543760,0.7616627182,0.1418774754,0.0006054304
0.0858396203,0.7569456057,0.1564737737,0.0007410004
0.0766712696,0.7503012495,0.1721229119,0.0009045690
0.0683019381,0.7417578868,0.1888388376,0.0011013376
0.0606837377,0.7313539294,0.2066250042,0.0013373287
0.0537689209,0.7191388113,0.2254727880,0.0016194798
0.0475103985,0.7051738690,0.2453599917,0.0019557408
0.0418621463,0.6895331656,0.2662495168,0.0023551713
0.0367795152,0.6723041609,0.2880882849,0.0028280390
0.0322194578,0.6535881316,0.3108064959,0.0033859147
0.0281406892,0.6335002481,0.3343172991,0.0040417636
0.0245037925,0.6121692307,0.3585169457,0.0048100310
0.0212712841,0.5897365289,0.3832854656,0.0057067214
0.0184076472,0.5663549933,0.4084878901,0.0067494695
0.0158793439,0.5421870454,0.4339760071,0.0079576036
0.0136548116,0.5174023847,0.4595906022,0.0093522015
0.0117044490,0.4921753056,0.4851641070,0.0109561384
0.0100005947,0.4666817315,0.5105235440,0.0127941297
0.0085174993,0.4410960932,0.5354936396,0.0148927679
0.0072312931,0.4155881926,0.5598999599,0.0172805544
0.0061199470,0.3903201981,0.5835719277,0.0199879272
0.0051632271,0.3654439049,0.6063455859,0.0230472821
0.0043426420,0.3410983766,0.6280659955,0.0264929859
0.0036413815,0.3174080556,0.6485891861,0.0303613768
0.0030442476,0.2944813974,0.6677836086,0.0346907464
0.0025375763,0.2724100510,0.6855310776,0.0395212951
0.0021091527,0.2512685733,0.7017272224,0.0448950516
0.0017481197,0.2311146375,0.7162814985,0.0508557443
0.0014448817,0.2119896762,0.7291168307,0.0574486114
0.0011910056,0.1939198810,0.7401689774,0.0647201360
0.0009791203,0.1769174762,0.7493857123,0.0727176913
0.0008028178,0.1609821809,0.7567259213,0.0814890800
0.0006565557,0.1461027805,0.7621587075,0.0910819564
0.0005355639,0.1322587337,0.7656625854,0.1015431171
0.0004357569,0.1194217566,0.7672248324,0.1129176541
0.0003536508,0.1075573334,0.7668410502,0.1252479655
0.0002862880,0.0966261186,0.7645149668,0.1385726267
0.0002311671,0.0865852057,0.7602584936,0.1529251336
0.0001861817,0.0773892492,0.7540920316,0.1683325375
0.0001495634,0.0689914344,0.7460449995,0.1848140027
0.0001198335,0.0613442971,0.7361565393,0.2023793302
0.0000957591,0.0544004003,0.7244763382,0.2210275024
0.0000763156,0.0481128807,0.7110654897,0.2407453141
0.0000606539,0.0424358774,0.6959973049,0.2615061638
0.0000480726,0.0373248593,0.6793579804,0.2832690877
0.0000379936,0.0327368658,0.6612470256,0.3059781149
0.0000299419,0.0286306777,0.6417773602,0.3295620202
0.0000235281,0.0249669307,0.6210750031,0.3539345382
0.0000184340,0.0217081856,0.5992782976,0.3789950829
0.0000144001,0.0188189660,0.5765366421,0.4046299917
0.0000112155,0.0162657727,0.5530087293,0.4307142825
0.0000087091,0.0140170807,0.5288603300,0.4571138802
0.0000067427,0.0120433257,0.5042616940,0.4836882375
0.0000052049,0.0103168820,0.4793846686,0.5102932445
0.0000040060,0.0088120345,0.4543996587,0.5367843007
0.0000030744,0.0075049446,0.4294725685,0.5630194125
0.0000023527,0.0063736105,0.4047618637,0.5888621731
0.0000017955,0.0053978206,0.3804158887,0.6141844952
0.0000013665,0.0045591002,0.3565705507,0.6388689826
0.0000010373,0.0038406496,0.3333474592,0.6628108539
0.0000007854,0.0032272743,0.3108525760,0.6859193643
0.0000005933,0.0027053074,0.2891753973,0.7081187020
0.0000004471,0.0022625246,0.2683886597,0.7293483686
0.0000003362,0.0018880532,0.2485485315,0.7495630791
0.0000002523,0.0015722763,0.2296952317,0.7687322397
0.0000001889,0.0013067347,0.2118540021,0.7868390743
0.0000001412,0.0010840272,0.1950363522,0.8038794793
0.0000001054,0.0008977120,0.1792414941,0.8198606885
0.0000000785,0.0007422105,0.1644578885,0.8347998226
0.0000000584,0.0006127145,0.1506648324,0.8487223947
0.0000000434,0.0005050990,0.1378340289,0.8616608287
0.0000000322,0.0004158406,0.1259310896,0.8736530376
0.0000000239,0.0003419416,0.1149169367,0.8847410979
0.0000000177,0.0002808613,0.1047490776,0.8949700434
0.0000000131,0.0002304546,0.0953827390,0.9043867933
0.0000000096,0.0001889158,0.0867718547,0.9130392198
0.0000000071,0.0001547300,0.0788699065,0.9209753563
0.0000000052,0.0001266298,0.0716306260,0.9282427389
0.0000000039,0.0001035575,0.0650085653,0.9348878733
0.0000000028,0.0000846329,0.0589595493,0.9409558150
0.0000000021,0.0000691247,0.0534410221,0.9464898511
0.0000000015,0.0000564272,0.0484123014,0.9515312699
0.0000000011,0.0000460389,0.0438347541,0.9561192058
0.0000000008,0.0000375460,0.0396719051,0.9602905481
0.0000000006,0.0000306071,0.0358894911,0.9640799012
0.0000000004,0.0000249411,0.0324554703,0.9675195881
0.0000000003,0.0000203171,0.0293399963,0.9706396863
0.0000000002,0.0000165453,0.0265153644,0.9734680901
0.0000000002,0.0000134699,0.0239559379,0.9760305921
0.0000000001,0.0000109633,0.0216380590,0.9783509775
0.0000000001,0.0000089212,0.0195399496,0.9804511292
0.0000000001,0.0000072579,0.0176416056,0.9823511365
0.0000000001,0.0000059036,0.0159246889,0.9840694075
0.0000000000,0.0000048012,0.0143724176,0.9856227811
0.0000000000,0.0000039040,0.0129694583,0.9870266376
0.0000000000,0.0000031741,0.0117018206,0.9882950053
0.0000000000,0.0000025803,0.0105567554,0.9894406643
0.0000000000,0.0000020974,0.0095226582,0.9904752444
0.0000000000,0.0000017046,0.0085889770,0.9914093184
0.0000000000,0.0000013853,0.0077461251,0.9922524895
0.0000000000,0.0000011257,0.0069854007,0.9930134736
0.0000000000,0.0000009147,0.0062989102,0.9937001751
0.0000000000,0.0000007432,0.0056794985,0.9943197583
0.0000000000,0.0000006038,0.0051206834,0.9948787128
0.0000000000,0.0000004905,0.0046165957,0.9953829138
0.0000000000,0.0000003985,0.0041619234,0.9958376781
0.0000000000,0.0000003237,0.0037518613,0.9962478150
0.0000000000,0.0000002629,0.0033820642,0.9966176728
0.0000000000,0.0000002136,0.0030486041,0.9969511823
0.0000000000,0.0000001735,0.0027479313,0.9972518952
0.0000000000,0.0000001409,0.0024768391,0.9975230200
0.0000000000,0.0000001144,0.0022324312,0.9977674544
0.0000000000,0.0000000929,0.0020120921,0.9979878150
0.0000000000,0.0000000755,0.0018134607,0.9981864638
0.0000000000,0.0000000613,0.0016344059,0.9983655328
0.0000000000,0.0000000498,0.0014730043,0.9985269459
0.0000000000,0.0000000404,0.0013275203,0.9986724393
0.0000000000,0.0000000328,0.0011963880,0.9988035792
0.0000000000,0.0000000267,0.0010781950,0.9989217783
0.0000000000,0.0000000216,0.0009716671,0.9990283113
0.0000000000,0.0000000176,0.0008756551,0.9991243273
0.0000000000,0.0000000143,0.0007891228,0.9992108629
0.0000000000,0.0000000116,0.0007111355,0.9992888529
0.0000000000,0.0000000094,0.0006408506,0.9993591400
0.0000000000,0.0000000076,0.0005775082,0.9994224841
0.0000000000,0.0000000062,0.0005204234,0.9994795704
0.0000000000,0.0000000050,0.0004689786,0.9995310163
0.0000000000,0.0000000041,0.0004226171,0.9995773788
0.0000000000,0.0000000033,0.0003808370,0.9996191597
0.0000000000,0.0000000027,0.0003431858,0.9996568115
0.0000000000,0.0000000022,0.0003092559,0.9996907420
0.0000000000,0.0000000018,0.0002786795,0.9997213187
0.0000000000,0.0000000014,0.0002511256,0.9997488730
